commit,unique_dependency_count
250b986bd7911569ba368b0d26e077bd249c6955,393
9ced56d8d72548710b8d66b53d3ce8a1ec979c21,259
16a120eafd4533e758e6c02e34eb047755addf6d,448
69f7dfbb47e211773561f60a1a87f4dd23587271,112
b00651391ba6e30a0e422a263b32cff27b923442,287
c4bf3ef8740b43d87da1162001904270e6457fc4,448
5467d8acb5d8a0e31e1b7ff666f2e4b7566860af,434
ee2759c76d81bc3ad09acdf734f081249c3864a4,458
cdf014807cd7c3bf3ae2564386ee9ebdd2433eb7,457
8f7432e3aca659c7310724aefb8de4a62389909f,454
636996f1d0417bbcbc1b2b107ca7ad84d00d47e7,450
39ef50bb1bf177b54b2592604bfa5589e1b15236,429
2c8f890251cc0fce7460ac04dce8773293ec6fca,389
1548065b7f953523fd3783cdfda519e4e0c989da,21
631bf091761979558f4272b9092bd56c600fc607,417
f79d575184542ed185fbdf85ab2fb1e9e1f3016b,450
0d25257aa5d40aa8076f7e1005daf0e0272bb415,458
143e6bc932a139b63868fa0791b9e714e2cc9d8c,393
0f7440d3449bb49cf725d8d93ab8b51ea09ab741,291
1dc0b005fe5d8df25edab295518e24e524cf508c,365
20e3a8e36014b84c8677b5ca7fd0e741eefec28a,419
84013115f9f78eab66a8582921ce817f2d1502ee,382
98a88e3e8bdc66889af53943ad64eeb0e8277a93,365
82680290cdb432dacf73f4ad6400645f4cbc9e61,452
36f27ca5da7b944abd77ea854d07f70af3860bf5,417
e26203467f43f87947a0fc911d1dc25ac3293d53,405
6afc8c3e0474422652841edcdd62033842214edd,330
8bc5a836a99e9af43c37c7ff6dcfc60723a41622,404
ebfc24d6c105971f00f86d1c96fc0dc2aed45bf9,398
8386e77a0b0bc90405421583b000df8743ae31e8,457
70e2a28ff9e8689c75e17229c866d59a77c28de8,327
7c3145292128d81da80ff36d5acf66c2c70b0706,450
a30b6842a6f394938fb8563e6731101cf7ca9ede,405
13f7831a776dd1e2cc12597a607bafee94d1a621,380
56d68c17f538b436029de904ef67d3e81887b615,288
d9ed0a333bb7b60728ef348e1fa1fc3ee6c3a9f9,359
bb11ad2ec1e86730591aedeca1f94132a78bdb37,108
c6c8edf2ded8b10c82c46c13f9d5ac3d07dfd0e0,424
10509e0ce94b2c64ad884b84a077c4c89c9416aa,432
3fd4d23bed2e057a2713377c5a3fde0bfd029b48,224
bc144e7666d7eea3776b689cf8e91bab05472bd8,471
61f44083efdc0937e78d70cf3f5ce6b84157c8f7,453
e29c30f3e6c377625d4cb51876a2253ba23ea278,361
6d2e57f93a297360c4ebb6082dcd7fc87ccf2448,404
faef5982dc10b1667cc3d8b1e2ff205c1fce0c70,450
47d1418a023041dd355634ab688ddd57fea94fa4,342
39a39f2092e44cd72b05f5844158a06dd3ae0203,370
8882cd82e98c2f7c1b77d1e2e934da05998a0a4d,465
10bb249506c976f452d79dc70252942f006c1614,430
97b8707d5de7f052b0360c3c519b390573505690,332
bfab7361f4daf26b7910edeec4fe81ce8dd7673f,146
35bc1c673eea475e5eadb4cca10d02eb09da8424,181
ac890075e10d6f43bee75045adbaa91ddf1841df,330
7afd90982d1c8096f2f3faae0d6bfe74ec168190,398
bcab75a7ef19a5a7edc0944aa36ad910c29204b9,398
